group,eid,index,used.in.pca
0,999,121109,1
1,999,272028,1
0,999,450916,1
1,999,263386,1
1,999,93782,1
0,999,126693,1
1,999,380084,1
1,999,316999,1
1,999,298510,1
0,999,421081,1
1,999,190228,1
0,999,410882,1
1,999,213240,1
1,999,437336,1
0,999,78913,1
1,999,236035,1
0,999,136337,1
0,999,151091,1
0,999,445281,1
1,999,448139,1
1,999,89262,1
1,999,414558,1
1,999,336046,1
1,999,480201,1
1,999,201058,1
1,999,446751,1
1,999,150649,1
1,999,109586,1
0,999,31949,1
0,999,375,1
1,999,41551,1
1,999,82159,1
1,999,307555,1
1,999,460027,1
0,999,434025,1
0,999,441027,1
1,999,195666,1
0,999,140974,1
0,999,389890,1
0,999,159648,1
0,999,256672,1
0,999,304729,1
0,999,374589,1
0,999,114240,1
0,999,87321,1
0,999,70899,1
0,999,134725,1
0,999,287186,1
0,999,387659,1
1,999,367484,1
0,999,408617,1
0,999,165745,1
1,999,232437,1
0,999,37154,1
1,999,78096,1
0,999,374178,1
0,999,101000,1
1,999,217024,1
1,999,179595,1
0,999,75041,1
1,999,35284,1
0,999,443368,1
0,999,314832,1
0,999,215445,1
1,999,205001,1
0,999,336212,1
1,999,472704,1
1,999,286463,1
1,999,341049,1
0,999,238604,1
1,999,233893,1
1,999,433882,1
1,999,484884,1
0,999,186902,1
0,999,83717,1
0,999,440325,1
0,999,170711,1
1,999,113171,1
0,999,366327,1
0,999,401056,1
0,999,282239,1
1,999,74738,1
0,999,300187,1
1,999,380987,1
0,999,395408,1
0,999,345053,1
1,999,26523,1
1,999,245778,1
1,999,200250,1
0,999,171235,1
0,999,54552,1
1,999,195043,1
0,999,60692,1
1,999,142353,1
0,999,345871,1
0,999,394332,1
1,999,285587,1
0,999,374900,1
0,999,390950,1
1,999,203673,1
1,999,345175,1
0,999,374622,1
0,999,3750,1
1,999,250125,1
0,999,16540,1
1,999,338458,1
1,999,244279,1
1,999,93882,1
0,999,313380,1
0,999,297598,1
1,999,467203,1
0,999,340549,1
0,999,136616,1
1,999,247163,1
1,999,315205,1
0,999,76455,1
1,999,62697,1
1,999,17360,1
1,999,154387,1
0,999,257007,1
1,999,244385,1
0,999,20383,1
0,999,375147,1
0,999,96612,1
0,999,284672,1
1,999,450741,1
0,999,210346,1
0,999,342135,1
0,999,363189,1
1,999,136209,1
1,999,8052,1
1,999,229119,1
1,999,256429,1
1,999,258841,1
1,999,487381,1
1,999,272883,1
1,999,300865,1
