group,eid,index,used.in.pca
0,999,120973,1
1,999,271616,1
0,999,449959,1
1,999,262993,1
1,999,93689,1
0,999,126548,1
1,999,379388,1
1,999,316469,1
1,999,298033,1
0,999,420284,1
1,999,190012,1
0,999,410123,1
1,999,212987,1
1,999,436390,1
0,999,78859,1
1,999,235746,1
0,999,136184,1
0,999,150925,0
0,999,444324,1
1,999,447182,1
1,999,89175,1
1,999,413787,1
1,999,335472,1
1,999,479238,1
1,999,200825,1
1,999,445794,1
1,999,150483,1
1,999,109469,1
0,999,31934,1
0,999,376,1
1,999,41534,1
1,999,82091,1
1,999,307046,1
1,999,459067,1
0,999,433193,1
0,999,440074,1
1,999,195440,0
0,999,140816,1
0,999,389171,1
0,999,159472,1
0,999,256285,1
0,999,304238,1
0,999,373901,1
0,999,114116,1
0,999,87243,1
0,999,70866,1
0,999,134572,1
0,999,286736,1
0,999,386943,1
1,999,366813,1
0,999,407866,0
0,999,165562,0
1,999,232155,1
0,999,37137,1
1,999,78046,1
0,999,373492,1
0,999,100894,1
1,999,216769,1
1,999,179391,1
0,999,74996,0
1,999,35267,1
0,999,442414,0
0,999,314308,1
0,999,215191,0
1,999,204765,1
0,999,335636,1
1,999,471742,1
1,999,286016,1
1,999,340459,1
0,999,238303,1
1,999,233608,1
1,999,433053,0
1,999,483918,0
0,999,186690,1
0,999,83645,1
0,999,439372,1
0,999,170520,1
1,999,113051,1
0,999,365659,1
0,999,400311,1
0,999,281802,1
1,999,74694,0
0,999,299709,1
1,999,380286,1
0,999,394674,1
0,999,344453,1
1,999,26510,0
1,999,245428,1
1,999,200017,1
0,999,171043,0
0,999,54529,1
1,999,194817,1
0,999,60667,1
1,999,142194,1
0,999,345269,1
0,999,393600,1
1,999,285141,1
0,999,374212,1
0,999,390230,0
1,999,203438,1
1,999,344575,1
0,999,373934,1
0,999,3750,1
1,999,249763,1
0,999,16534,1
1,999,337874,1
1,999,243933,1
1,999,93789,0
0,999,312858,1
0,999,297122,1
1,999,466242,1
0,999,339961,1
0,999,136463,0
1,999,246806,1
1,999,314681,1
0,999,76408,1
1,999,62670,0
1,999,17353,1
1,999,154217,1
0,999,256620,1
1,999,244038,1
0,999,20373,1
0,999,374459,1
0,999,96517,0
0,999,284228,1
1,999,449784,0
0,999,210098,1
0,999,341542,0
0,999,362536,1
1,999,136056,1
1,999,8052,1
1,999,228841,1
1,999,256042,1
1,999,258454,1
1,999,486414,1
1,999,272471,1
1,999,300383,0
1,999,344441,1
1,999,274180,1
